song_name,kpop_artist_name,song_id,artist_id,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,artist_8,artist_id_8,artist_9,artist_id_9,artist_10,artist_id_10,artist_11,artist_id_11,artist_12,artist_id_12,artist_13,artist_id_13
Beautiful Christmas,Red Velvet,3k7FTBQkstaBcYHamx9jqe,1z4g3DjTBBZKhvAroFlhOM, aespa,6YVMFz59CuY7ngCxTxjpxE,,,,,,,,,,,,,,,,,,,,,,,,
Bad Boy - PREP Remix,Red Velvet,4J40k24yd1m6D3TaKQsepp,1z4g3DjTBBZKhvAroFlhOM, PREP,31SBgHxc8eqZUk9MdveH42,,,,,,,,,,,,,,,,,,,,,,,,
Bad Boy - nomad Remix,Red Velvet,49FchQE6EsiDYK9Ls0YtiN,1z4g3DjTBBZKhvAroFlhOM, nomad,2xPc9Yvp2U0uUYxZdvFLOz,,,,,,,,,,,,,,,,,,,,,,,,
Bad Boy - Slom Remix,Red Velvet,2MgGwRwnTJnQ8qEljY1T0D,1z4g3DjTBBZKhvAroFlhOM, Slom,0UswO8FFKS2tv6dzyNyJLD,,,,,,,,,,,,,,,,,,,,,,,,
Queendom - Demicat Remix,Red Velvet,76fqR3nf37J4WQ3K8NrXMM,1z4g3DjTBBZKhvAroFlhOM, Demicat,3Geym1qRlviofLxjf1L0BK,,,,,,,,,,,,,,,,,,,,,,,,
Close To Me - Red Velvet Remix,Red Velvet,696Y3Jx3k4Rjsw8gm2q4l4,1z4g3DjTBBZKhvAroFlhOM,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ, Diplo,5fMUXHkw8R8eOP2RNVYEZX, Red Velvet,1z4g3DjTBBZKhvAroFlhOM,,,,,,,,,,,,,,,,,,,,
상상 속의 너,Red Velvet,0ZyQzJ7tMMX2dd6Atd4yBC,1z4g3DjTBBZKhvAroFlhOM,Raina,21dQ70DS91icGLN9J4mH7h, 리지,45hd8opei1aSAIMNfJccfK,,,,,,,,,,,,,,,,,,,,,,
Be Natural,Red Velvet,41qLzxymjkp0R5vl3REb1S,1z4g3DjTBBZKhvAroFlhOM, TAEYONG,6SKusTjOAPsTZ6kareKQdm,,,,,,,,,,,,,,,,,,,,,,,,
Welcome To MY World (feat. nævis),aespa,3q5qpprtugUIEPExuI7tRD,6YVMFz59CuY7ngCxTxjpxE, nævis,2067CjQ2nC56cRZX8goeHg,,,,,,,,,,,,,,,,,,,,,,,,
Girls - BRLLNT Remix,aespa,5dkjKoFSjCeGmR1P7wGlxF,6YVMFz59CuY7ngCxTxjpxE, BRLLNT,78EdVeIJjaqrSJdEaps9rt,,,,,,,,,,,,,,,,,,,,,,,,
Girls - Minit Remix,aespa,7yJktKsS9pNnEpwZWTdX5C,6YVMFz59CuY7ngCxTxjpxE, Minit,6TXbTOTnLFaF1iHywOaV1m,,,,,,,,,,,,,,,,,,,,,,,,
Next Level - Habstrakt Remix,aespa,34r29cNzzV4elD0XTz1ihT,6YVMFz59CuY7ngCxTxjpxE, Habstrakt,1YYJxpOXYk1z1WtqdeLMkn,,,,,,,,,,,,,,,,,,,,,,,,
Next Level - IMLAY Remix,aespa,1OscRS80PF5n0hDkI9S1F2,6YVMFz59CuY7ngCxTxjpxE, IMLAY,4b7ZEkk5uXPlwX2IPuV7Q2,,,,,,,,,,,,,,,,,,,,,,,,
Next Level - Lionclad Remix,aespa,7fKRGSEsy6Y5e1gE7trjAv,6YVMFz59CuY7ngCxTxjpxE, Lionclad,2AGxU7q0xWss9jkiTPmxH7,,,,,,,,,,,,,,,,,,,,,,,,
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",LISA,6IPNp9PfaEqrzotY47TIWy,5L1lO4eRHmJ7a0Q6csE5cT,DJ Snake,540vIaP2JwjQb9dm3aArA4, Ozuna,1i8SpTcr7yvPOmcqrbnVXY, Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK, LISA,5L1lO4eRHmJ7a0Q6csE5cT,,,,,,,,,,,,,,,,,,
Glitch Mode - JINBO Remix,NCT DREAM,6gVZB0cp9QmWoduXVWOgHM,1gBUSTR3TyDdTVFIaQnc02, JINBO,4PlxqkEk6seCManiTAPTWb,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sauce - Hitchhiker Remix,NCT DREAM,5b9Xo4A6XODIi8tkD1Qdz9,1gBUSTR3TyDdTVFIaQnc02, Hitchhiker,5ePDPFrSdmaieYrKrPDJPx,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sauce - MINIMONSTER Remix,NCT DREAM,1qr9eVsNr2Tu5B2pXJm3Y7,1gBUSTR3TyDdTVFIaQnc02, MINIMONSTER,3bN6HZ9ACZ6nqQheU5rp68,,,,,,,,,,,,,,,,,,,,,,,,
Ridin' - Will Not Fear Remix,NCT DREAM,4SzTxy50i4bNdqT8FFYWBp,1gBUSTR3TyDdTVFIaQnc02, Will Not Fear,3zQf6Ogadb67LzdBTHaZ0N,,,,,,,,,,,,,,,,,,,,,,,,
Ridin' - IMLAY Remix,NCT DREAM,2oQmOWx2DCkYm8uKuk5iVG,1gBUSTR3TyDdTVFIaQnc02, IMLAY,4b7ZEkk5uXPlwX2IPuV7Q2,,,,,,,,,,,,,,,,,,,,,,,,
"BOOM - Minit Remix, Bonus Track",NCT DREAM,03YS92LnXaaMSxPiz8ZEiM,1gBUSTR3TyDdTVFIaQnc02, Minit,6TXbTOTnLFaF1iHywOaV1m,,,,,,,,,,,,,,,,,,,,,,,,
Up to You (feat. NCT DREAM),NCT DREAM,58LUjGxK8NF8VD7KxRvONb,1gBUSTR3TyDdTVFIaQnc02,PRETTYMUCH,5Y8eJDj37KhaEeqbVO7Ag1, NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,,,,,,,,,,,,,,,,,,,,,,
Don’t Need Your Love,NCT DREAM,7oEm5Q1virEUB9H0XjWZzF,1gBUSTR3TyDdTVFIaQnc02, HRVY,28y6CyJNkGNjJQKrlx4AmN,,,,,,,,,,,,,,,,,,,,,,,,
on the street (with J. Cole),j-hope,5wxYxygyHpbgv0EXZuqb9V,0b1sIQumIAsNbqAoIClSpy, J. Cole,6l3HvQ5sa6mXTsMTB19rO5,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Noodle Soup (feat. Becky G),j-hope,2y6Ty2NPAsP84XJAtzLxuk,0b1sIQumIAsNbqAoIClSpy, Becky G,4obzFoKoKRHIphyHzJ35G3,,,,,,,,,,,,,,,,,,,,,,,,
People Pt.2 (feat. IU),IU,4EaQ0ouIydfeAgQUz284EF,3HqSLMAZ3g3d5poNaI7GOU,Agust D,5RmQ8k4l3HZ8JoPb4mNsML, IU,3HqSLMAZ3g3d5poNaI7GOU,,,,,,,,,,,,,,,,,,,,,,
Mother Nature (H₂O),IU,7KZThhMaRjQpB9x6yIJvZ8,3HqSLMAZ3g3d5poNaI7GOU, Kang Seungwon,48DsjCcpYJQWi5fulzyuBm,,,,,,,,,,,,,,,,,,,,,,,,
eight(Prod.&Feat. SUGA of BTS),IU,0pYacDCZuRhcrwGUA5nTBe,3HqSLMAZ3g3d5poNaI7GOU, SUGA,0ebNdVaOfp6N0oZ1guIxM8,,,,,,,,,,,,,,,,,,,,,,,,
First Winter,IU,5eWw4OyW26hL51XFSTkTPg,3HqSLMAZ3g3d5poNaI7GOU,Sung Si Kyung,7jFUYMpMUBDL4JQtMZ5ilc, IU,3HqSLMAZ3g3d5poNaI7GOU,,,,,,,,,,,,,,,,,,,,,,
Can't Love You Anymore (With OHHYUK),IU,4twllsTUoTAFxiVeq3bNjq,3HqSLMAZ3g3d5poNaI7GOU, OHHYUK,68TCVp5t1Dxi2TvNuYoYK0,,,,,,,,,,,,,,,,,,,,,,,,
