name,id,top_kpop,genre,followers
 Quintino,1V3VTM7VspiQjcmRhC010n,0,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",624742
 Bizniz,1VZmQVn38jR2UG7QSWNoYw,0,['k-rap'],900
NAYEON,1VwDG9aBflQupaFNjUru9A,1,['k-pop'],969377
Pink Sweat$,1W7FNibLa0O0b572tB2w7t,0,['bedroom soul'],1679648
 한겨울,1WLp3CeL7X1Ic7DTu67CCP,0,[],0
K.Will,1XNC9ksvgXeD1xRJruSA5t,0,"['k-pop', 'korean pop']",358766
PARK WON,1XujSdsxykPhP3dn6HaT4l,0,['korean pop'],108543
 Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,0,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",10386278
 Habstrakt,1YYJxpOXYk1z1WtqdeLMkn,0,"['bass house', 'dubstep', 'electro house', 'electronic trap', 'filthstep']",117998
 B.A.R.S,1ahnpDxkjOKgm9VydpzCKr,0,[],262
 Tae Woo Kim,1b5dXQjWYLpMLY5VXElc8P,0,[],8
 Lil Playy,1d5znoU7LGiCy3H8TMtLWg,0,[],1586
Urban Zakapa,1dOMFM5wDNsENQQW0nl0K8,1,['korean pop'],202564
Kim Jang Hoon,1dXv5kexTtGYeykDWAnTCg,0,[],229
 U-KWON,1dpFCgmBpElH7pcsfSfXqG,0,[],24065
 Moon Byul,1eTft3tXynrKdo6XD7QHLL,0,['k-pop'],1118183
 MILLI,1eVPKI2R4NlX6P5FIuMXis,0,"['thai hip hop', 'thai pop', 'thai trap']",274520
 유빈 of Wonder Girls,1eaKmXYQ1g9M2DPXpnD6sY,0,[],63
 Kim Lip,1fsR8q6ObgP7rLBYdZZD7i,0,[],1825
 YANG YO SEOP,1fwMtpwCEJovQuyxSuHcAd,0,"['k-pop', 'korean pop']",55145
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,1,"['k-pop', 'k-pop boy group']",6513338
DAE HYUN (B.A.P),1htPJUlogkZBjbKp86uuLF,0,[],6874
 Ozuna,1i8SpTcr7yvPOmcqrbnVXY,0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",36674952
 KIM DONG HAN,1iGenyJQdF1y4bV4GAvNmW,0,['k-pop'],114971
NU'EST,1iQfn1B8V25iQoolQakyAZ,1,"['k-pop', 'k-pop boy group']",1008715
 Mokyo,1kRGgLBLwdQ16TxyfN1YgP,0,['korean r&b'],93480
 Jackson Wang,1kfWoWgCugPkyxQP8lkRlY,0,['k-pop'],3838840
2NE1,1l0mKo96Jh9HVYONcRl3Yp,1,"['dance pop', 'k-pop', 'k-pop girl group']",2392750
 Olltii,1l1VfoWjli9N3MJH2tAWCA,0,"['k-rap', 'korean trap']",5707
 JAMBINO,1lcuNfp7bo4LCAHWrjAR9K,0,[],4824
After School,1loWI8jVk9btgJXHgqHXPD,1,"['k-pop', 'k-pop girl group']",342444
 SURAN,1mORehSVEd7lcaT2d7Sl2K,1,"['k-pop', 'korean r&b']",1069174
 ESAI,1mv8s2gObjHHdnlSGVW1pE,0,[],800
 Reiley,1nHcGkMVml7a44TVwfrAN8,0,[],13811
 Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,0,"['alt z', 'pop', 'talent show']",2995410
 ILLSON,1o3mKG33qvuXI2s3HXTkYd,0,['k-rap'],10725
Jimin,1oSPZhvZMIrWW5I41kPkkY,1,['k-pop'],5246710
 Rauas,1ogGHXBZD13CHeAbt2su66,0,[],6
 김화영,1pEirsoHYEMB0rxhzNkXeU,0,[],0
$ÜN,1pKLKBc699vwGpEWRii5eb,0,[],8481
 Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,0,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",3051503
 RYU HYUNJIN,1q05ZqOVRRBnsbhAB1FDdL,0,[],44
 Ja Mezz,1q1Fe4tXiu1Weq4U0uhqPi,0,['k-rap'],25696
 Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,0,"['j-pop', 'japanese teen pop']",430012
 JinSoul,1rAZr0bwMTcobwrOFHhfJr,0,['korean ost'],10730
 LEE CHANGSUB,1rp5HzWaNwgauM5W5YmZ3U,0,['korean talent show'],46324
Eddy Kim,1sVSMPPNMMSZ7cQNfbvMOe,1,"['k-pop', 'korean pop', 'korean singer-songwriter']",362061
HENRY,1sjw4xq2pAWy5Vdgba5QAt,1,['k-pop'],483629
 KEN THE 390,1tcHKxlx0TZ6MkHGO4QYv3,0,[],41316
 Brave sound,1uEmHEZ4LdKTArYrXk09bP,0,[],0
Lee Pil Ho,1uEtbyROUf6Za2kJKzm4DZ,0,[],12
 Jooyoung,1vct46rBqLNRbE9wCibXUH,0,['korean r&b'],211243
 MOTi,1vo8zHmO1KzkuU9Xxh6J7W,0,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",256801
 IRIN,1vttSluVztvILtXVXVeqtu,0,[],3
