,name,id,top_kpop,genre,followers,name_lower
404, Whee In,0BqRGrwqndrtNkojXiqIzL,0,"['k-pop', 'korean ost']",845224,whee in
406, Yella Diamond) (Performed by JooHeon,5KnPgqPc7aCvEfXrCs4QjV,0,[],3,yella diamond) (performed by jooheon
407,Kep1er,5R7AMwDeroq6Ls0COQYpS4,1,['k-pop'],1140149,kep1er
410,LOONA,52zMTJCKluDlFwMQWmccY7,1,"['k-pop', 'k-pop girl group']",2318345,loona
413, Kim Lip,1fsR8q6ObgP7rLBYdZZD7i,0,[],1825,kim lip
415, HaSeul,5clV5I50OxxG9JGGxeW0C9,0,[],1229,haseul
417, JinSoul,1rAZr0bwMTcobwrOFHhfJr,0,['korean ost'],10730,jinsoul
418,Jessi,64k5e9kV9MdukXjFrR5R37,1,['k-pop'],1695211,jessi
419,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0,"['pop', 'uk pop']",111956794,ed sheeran
421, SUNMI,6MoXcK2GyGg7FIyxPU5yW6,1,['k-pop'],2610558,sunmi
423, BM,5lZV4z4dpX6IfTYlfUMvOE,0,[],39242,bm
424, nafla (나플라),7ckGYpVRexH6vHHrBuKJs0,0,[],0,nafla (나플라)
426, 朴宰範,2VrDFxXbEHomf7A8Q87uRA,0,[],18,朴宰範
429, nafla,3Zn6C68VCosoQrxu4D2Btr,0,['k-rap'],169887,nafla
431, Jay Park,4XDi67ZENZcbfKnvMnTYsI,1,"['k-pop', 'k-rap', 'korean r&b']",1941923,jay park
433, ILLSON,1o3mKG33qvuXI2s3HXTkYd,0,['k-rap'],10725,illson
436, Microdot,1ToWoFmtIc9NTPFy7lR690,0,['k-rap'],6392,microdot
438, CHANGMO,3hvinNZRzTLoREmqFiKr1b,1,"['k-rap', 'korean r&b']",295854,changmo
440, TAE JIN A,7Hm7HaPth1NwFOU9BJXbhG,0,['trot'],65,tae jin a
442, Hanhae,1CjHzclPOS2unF1vRtgurF,0,['k-rap'],25876,hanhae
443, DJ Juice,0bJKaJ5AdUz5nDFDRGfKPJ,0,[],891,dj juice
445, Kim Young-Im,2fhbmyZNyWccDt37X5asgX,0,"['joseon pop', 'korean minyo']",336,kim young-im
446, Crispi Crunch,10ec6gfQc8j9tzB8yq7MGF,0,['k-rap'],922,crispi crunch
448, KATIE,2nDC4PH8XE1gHeeAxVLXRO,0,['korean r&b'],235038,katie
449, WOOGIE,7C0lSOS41UnTbnF7bMSEWN,0,"['k-rap', 'korean r&b']",89261,woogie
451,Lewie,7tvCXmeh7MlNtmfKMN2H8Q,0,[],1939,lewie
454, Hwa Sa,7bmYpVgQub656uNTu6qGNQ,1,"['k-pop', 'korean talent show']",4013680,hwa sa
457, Paloalto,2Yv0nlRtzgPl6u0dsS2hFv,0,['k-rap'],44738,paloalto
458, Nucksal,6v5cGuRCZKq08nLI4WXJuB,0,['k-rap'],40841,nucksal
459, CRUCiAL STAR,4vdAgNz4vrUZVvS0CaVvGJ,0,"['k-rap', 'korean r&b']",70227,crucial star
460, Khundi Panda,32wJE7JooXm59HxYhy7caU,0,['k-rap'],18757,khundi panda
461, SUPERBEE,0Q5XzDpn7DCI5jlubok4xb,0,['k-rap'],84986,superbee
462, Juvie Train,2CEVA02kVlfCD2ASpvadw4,0,[],155,juvie train
463, KAMBO,2LE4iuwlb4vZMWKTw68g4i,0,[],264,kambo
464, Fana,4mUsQKPUlPpTe2C1MPW1QT,0,"['k-rap', 'korean old school hip hop']",5093,fana
465, QM,0wMU0ruU41VLCAdBaWBo1j,0,"['k-rap', 'korean underground rap']",6139,qm
468, Blase,6XsOOgLCtnkkOv2uhZXuB0,0,['k-rap'],25776,blase
469, 365LIT,65LSFEqRhq074aUBF1zF2e,0,"['k-rap', 'korean trap', 'korean underground rap']",5242,365lit
470, JUPITER,09KeT4dkVIveN5OpVOCPeU,0,[],257,jupiter
